TCOA_Company,TCOA_Cabang,TCOA_Jenis_transaksi,TCOA_Traksaksi_Debit,TCOA_Transaksi_Credit,TCOA_Mutasi_Debit,TCOA_Mutasi_Credit,TCOA_CreateDate,TCOA_CreateUser,TCOA_CreateTIme,TCOA_ModifyUser,TCOA_ModifyDate,TCOA_ModifyTime
01,05,362,130100002,400100011,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,362,250000004,300300011,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,362,300100011,110100011,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,363,130100002,400100012,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,363,250000004,300300012,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,363,300100012,110100012,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,364,130100002,400100013,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,364,250000004,300300013,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,364,300100013,110100013,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,365,130100002,400100014,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,365,250000004,300300014,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,365,300100014,110100014,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,366,130100002,400100015,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,366,250000004,300300015,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,366,300100015,110100015,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,367,130100002,400100016,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,367,250000004,300300016,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,367,300100016,110100016,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,368,130100002,400100017,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,368,250000004,300300017,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,368,300100017,110100017,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,369,130100002,400100018,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,369,250000004,300300018,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,369,300100018,110100018,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,370,130100002,400100019,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,370,250000004,300300019,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,370,300100019,110100019,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,371,130100002,400100020,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,371,250000004,300300020,C02,B01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,371,300100020,110100020,A02,D04,NULL,NULL,NULL,NULL,NULL,NULL
